d,prob_A|B_and_F,prob_A|B,prob_A|B_and_not_F,prob_F,prob_B,prob_A,prob_F|B,prob_B|F,total_F_and_B,total_A_and_B_and_F
3,1.0,0.7373458177821548,0.7343461127276979,0.04199429,0.6389923,0.00219233,0.011291779259311888,0.17181764473217667,721536,721536
4,1.0,0.7389883141057222,0.7359768793617218,0.04207743,0.38157713,0.00130782,0.011405950875514997,0.10343431145866086,435225,435225
5,1.0,0.7378741696878099,0.7348474584981363,0.04204036,0.20077388,0.00068288,0.011414980873009975,0.05451499463848549,229183,229183
6,1.0,0.7251260042959825,0.722075588406526,0.0420099,0.09175084,0.00031492,0.01097570332871067,0.023971254394797418,100703,100703
7,1.0,0.7165219366139145,0.7132830318889503,0.04200962,0.03998133,0.00013242,0.011296522651947796,0.01075110891267286,45165,45165
8,1.0,0.69631611039374,0.6928865544733427,0.0420295,0.01602301,5.199e-05,0.01116706536412322,0.0042572478854138165,17893,17893
9,1.0,0.6671494904837072,0.6637685641506548,0.04203431,0.00607537,1.826e-05,0.010055354653296836,0.001453336571957527,6109,6109
10,1.0,0.6174311356514484,0.614191203459173,0.04203617,0.00225298,6.8e-06,0.008397766513684098,0.0004500885784789623,1892,1892
11,1.0,0.47190356632589364,0.4681484171998547,0.04203308,0.00072091,1.81e-06,0.007060520730743088,0.00012109509938362833,509,509
12,1.0,0.309382315865298,0.3084108778763615,0.04204439,0.00027765,6.3e-07,0.0014046461372231227,9.275910531702326e-06,39,39
13,1.0,0.2833896016205267,0.27944870663317267,0.04201905,0.0001481,1.8e-07,0.005469277515192437,1.9276970802528854e-05,81,81
14,0.0,0.1219194158299648,0.1219194158299648,0.04201393,7.669e-05,6e-08,0.0,0.0,0,0
15,0.0,0.01029347349978099,0.01029347349978099,0.04202554,4.566e-05,1e-08,0.0,0.0,0,0
